category,問題類別,變形問題,SQL1,SQL2,SQL3
A,在[時間]的刷卡紀錄,在[時間]的刷卡紀錄,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,在[時間]的刷卡金額,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,我想知道[時間]的刷卡金額,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,我想知道[時間]的花費,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,在[時間]，我總共支付了多少費用?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,[時間]我在購物的總開支是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,對於[時間]的消費，我總共掏腰包了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,我在[時間]的總消費金額有多大?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,那次[時間]，我一共花掉了多少錢?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
A,在[時間]的刷卡紀錄,[時間]時，我的總支出金額是多少?,"Select
Count(*)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select
Sum(TXN_AMT)
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date","Select TXN_DATE, TXN_AMT, MERCHANT_NAME
From dual
Where CustomerID = &CustomerID
And TXN_DATE between &start_date and &end_date"
